market_date_sec,tradingDay,time,product,symbol,open,high,low,close,last,volume,oi,askPrice1,bidPrice1,askVolume1,bidVolume1,limitUp,limitDown,factor,UTC
2022-05-20 10:09:05,2022-05-20,2022-05-20 10:09:05.693,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.0,21516,29123,3418.0,3416.5,1,2,3834.0,2834.0,1.0,2022-05-19 21:09:05
2022-05-20 10:09:06,2022-05-20,2022-05-20 10:09:06.478,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.0,21517,29123,3419.5,3418.0,3,1,3834.0,2834.0,1.0,2022-05-19 21:09:06
2022-05-20 10:09:07,2022-05-20,2022-05-20 10:09:07.911,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3416.5,21522,29122,3417.0,3416.0,2,9,3834.0,2834.0,1.0,2022-05-19 21:09:07
2022-05-20 10:09:08,2022-05-20,2022-05-20 10:09:08.850,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3416.0,21525,29120,3417.0,3416.0,2,6,3834.0,2834.0,1.0,2022-05-19 21:09:08
2022-05-20 10:09:09,2022-05-20,2022-05-20 10:09:09.666,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3416.0,21526,29119,3417.0,3416.0,2,5,3834.0,2834.0,1.0,2022-05-19 21:09:09
2022-05-20 10:09:10,2022-05-20,2022-05-20 10:09:10.967,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3417.0,21532,29116,3417.5,3416.0,2,3,3834.0,2834.0,1.0,2022-05-19 21:09:10
2022-05-20 10:09:11,2022-05-20,2022-05-20 10:09:11.657,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3417.0,21532,29116,3417.5,3416.5,2,1,3834.0,2834.0,1.0,2022-05-19 21:09:11
2022-05-20 10:09:12,2022-05-20,2022-05-20 10:09:12.494,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3416.5,21534,29116,3416.5,3416.0,4,3,3834.0,2834.0,1.0,2022-05-19 21:09:12
2022-05-20 10:09:13,2022-05-20,2022-05-20 10:09:13.579,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3416.5,21541,29112,3418.0,3417.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:13
2022-05-20 10:09:15,2022-05-20,2022-05-20 10:09:15.637,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.0,21542,29113,3418.0,3417.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:15
